Date,Open,High,Low,Close
2016-09-19,115.190002,116.18,113.25,113.580002
2016-09-20,113.050003,114.120003,112.510002,113.57
2016-09-21,113.849998,113.989998,112.440002,113.550003
2016-09-22,114.349998,114.940002,114.0,114.620003
2016-09-23,114.419998,114.790001,111.550003,112.709999
2016-09-26,111.639999,113.389999,111.550003,112.879997
2016-09-27,113.0,113.18,112.339996,113.089996
2016-09-28,113.690002,114.639999,113.43,113.949997
2016-09-29,113.160004,113.800003,111.800003,112.18
2016-09-30,112.459999,113.370003,111.800003,113.050003
2016-10-03,112.709999,113.050003,112.279999,112.519997
2016-10-04,113.059998,114.309998,112.629997,113.0
2016-10-05,113.400002,113.660004,112.690002,113.050003
2016-10-06,113.699997,114.339996,113.129997,113.889999
2016-10-07,114.309998,114.559998,113.510002,114.059998
2016-10-10,115.019997,116.75,114.720001,116.050003
2016-10-11,117.699997,118.690002,116.199997,116.300003
2016-10-12,117.349998,117.980003,116.75,117.339996
2016-10-13,116.790001,117.440002,115.720001,116.980003
2016-10-14,117.879997,118.169998,117.129997,117.629997
2016-10-17,117.330002,117.839996,116.779999,117.550003
2016-10-18,118.18,118.209999,117.449997,117.470001
2016-10-19,117.25,117.760002,113.800003,117.120003
2016-10-20,116.860001,117.379997,116.330002,117.059998
2016-10-21,116.809998,116.910004,116.279999,116.599998
2016-10-24,117.099998,117.739998,117.0,117.650002
2016-10-25,117.949997,118.360001,117.309998,118.25
2016-10-26,114.309998,115.699997,113.309998,115.589996
2016-10-27,115.389999,115.860001,114.099998,114.480003
2016-10-28,113.870003,115.209999,113.449997,113.720001
2016-10-31,113.650002,114.230003,113.199997,113.540001
2016-11-01,113.459999,113.769997,110.529999,111.489998
2016-11-02,111.400002,112.349998,111.230003,111.589996
2016-11-03,110.980003,111.459999,109.550003,109.830002
2016-11-04,108.529999,110.25,108.110001,108.839996
2016-11-07,110.080002,110.510002,109.459999,110.410004
2016-11-08,110.309998,111.720001,109.699997,111.059998
2016-11-09,109.879997,111.32,108.050003,110.879997
2016-11-10,111.089996,111.089996,105.830002,107.790001
2016-11-11,107.120003,108.870003,106.550003,108.43
2016-11-14,107.709999,107.809998,104.080002,105.709999
2016-11-15,106.57,107.68,106.160004,107.110001
2016-11-16,106.699997,110.230003,106.599998,109.989998
2016-11-17,109.809998,110.349998,108.830002,109.949997
2016-11-18,109.720001,110.540001,109.660004,110.059998
2016-11-21,110.120003,111.989998,110.010002,111.730003
2016-11-22,111.949997,112.419998,111.400002,111.800003
2016-11-23,111.360001,111.510002,110.330002,111.230003
2016-11-25,111.129997,111.870003,110.949997,111.790001
2016-11-28,111.43,112.470001,111.389999,111.57
2016-11-29,110.779999,112.029999,110.07,111.459999
2016-11-30,111.599998,112.199997,110.269997,110.519997
2016-12-01,110.370003,110.940002,109.029999,109.489998
2016-12-02,109.169998,110.089996,108.849998,109.900002
2016-12-05,110.0,110.029999,108.25,109.110001
2016-12-06,109.5,110.360001,109.190002,109.949997
2016-12-07,109.260002,111.190002,109.160004,111.029999
2016-12-08,110.860001,112.43,110.599998,112.120003
2016-12-09,112.309998,114.699997,112.309998,113.949997
2016-12-12,113.290001,115.0,112.489998,113.300003
2016-12-13,113.839996,115.919998,113.75,115.190002
2016-12-14,115.040001,116.199997,114.980003,115.190002
2016-12-15,115.379997,116.730003,115.230003,115.82
2016-12-16,116.470001,116.5,115.650002,115.970001
2016-12-19,115.800003,117.379997,115.75,116.639999
2016-12-20,116.739998,117.5,116.68,116.949997
2016-12-21,116.800003,117.400002,116.779999,117.059998
2016-12-22,116.349998,116.510002,115.639999,116.290001
2016-12-23,115.589996,116.519997,115.589996,116.519997
2016-12-27,116.519997,117.800003,116.489998,117.260002
2016-12-28,117.519997,118.019997,116.199997,116.760002
2016-12-29,116.449997,117.110001,116.400002,116.730003
2016-12-30,116.650002,117.199997,115.43,115.82
2017-01-03,115.800003,116.330002,114.760002,116.150002
2017-01-04,115.849998,116.510002,115.75,116.019997
2017-01-05,115.919998,116.860001,115.809998,116.610001
2017-01-06,116.779999,118.160004,116.470001,117.910004
2017-01-09,117.949997,119.43,117.940002,118.989998
2017-01-10,118.769997,119.379997,118.300003,119.110001
2017-01-11,118.739998,119.93,118.599998,119.75
2017-01-12,118.900002,119.300003,118.209999,119.25
2017-01-13,119.110001,119.620003,118.809998,119.040001
2017-01-17,118.339996,120.239998,118.220001,120.0
2017-01-18,120.0,120.5,119.709999,119.989998
2017-01-19,119.400002,120.089996,119.370003,119.779999
2017-01-20,120.449997,120.449997,119.730003,120.0
2017-01-23,120.0,120.809998,119.769997,120.080002
2017-01-24,119.550003,120.099998,119.5,119.970001
2017-01-25,120.419998,122.099998,120.279999,121.879997
2017-01-26,121.669998,122.440002,121.599998,121.940002
2017-01-27,122.139999,122.349998,121.599998,121.949997
2017-01-30,120.93,121.629997,120.660004,121.629997
2017-01-31,121.150002,121.389999,120.620003,121.349998
2017-02-01,127.029999,130.490005,127.010002,128.75
2017-02-02,127.980003,129.389999,127.779999,128.529999
2017-02-03,128.309998,129.190002,128.160004,129.080002
2017-02-06,129.130005,130.5,128.899994,130.289993
2017-02-07,130.539993,132.089996,130.449997,131.529999
2017-02-08,131.350006,132.220001,131.220001,132.039993
2017-02-09,131.649994,132.449997,131.119995,132.419998
2017-02-10,132.460007,132.940002,132.050003,132.119995
2017-02-13,133.080002,133.820007,132.75,133.289993
2017-02-14,133.470001,135.089996,133.25,135.020004
2017-02-15,135.520004,136.270004,134.619995,135.509995
2017-02-16,135.669998,135.899994,134.839996,135.350006
